insert into food_item values('F001', 'Large Plain Popcorn', 'food', 25);
insert into food_item values('F076', 'Large Plain Popcorn', 'food', 25);
insert into food_item values('F077', 'pepsi', 'beverage', 9.90);
insert into food_item values('F078', 'pepsi', 'beverage' , 9.90);
insert into food_item values('F079', 'water', 'beverage', 1.50);
insert into food_item values('F080', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F081', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F082', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F083', 'Coca-Cola', 'beverage' , 8.90);
insert into food_item values('F084', 'water', 'beverage', 1.50);
insert into food_item values('F085', 'water', 'beverage', 1.50);
insert into food_item values('F086', 'Medium Plain Popcorn', 'food',21 );
insert into food_item values('F087', 'Medium Plain Popcorn', 'food', 21);
insert into food_item values('F088', 'Medium Plain Popcorn', 'food', 21);
insert into food_item values('F089', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F090', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F091', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F092', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F093', 'Large Plain Popcorn', 'food', 25);
insert into food_item values('F094', 'Large Plain Popcorn', 'food', 25);
insert into food_item values('F095', 'pepsi', 'beverage', 9.90);
insert into food_item values('F096', 'Medium Plain Popcorn', 'food', 21);
insert into food_item values('F097', 'Coca-Cola', 'beverage', 8.90);
insert into food_item values('F098', 'Large Plain Popcorn', 'food', 25);
insert into food_item values('F099', 'pepsi', 'beverage', 9.90);
insert into food_item values('F100', 'Large Plain Popcorn', 'food', 25);
